slug,name,gecko_id,latest_outstanding_loans,selected
sovryn-lend,Sovryn Lend,sovryn,2456173.0,no
init-capital,INIT Capital,,2404375.0,no
extra-finance-xlend,Extra Finance Xlend,extra-finance,2314974.0,no
termfinance-lend,TermFinance Lend,,2200461.0,no
wepiggy,WePiggy,wepiggy-coin,2128269.0,no
nostra-money-market,Nostra Money Market,nostra,2042944.0,no
fluidtokens,FluidTokens,fluidtokens,2037758.0,no
neptune-finance,Neptune Finance,,1982758.0,no
starlay-finance,Starlay Finance,starlay-finance,1890147.0,no
superlend,Superlend,,1860258.0,no
silo-v1,Silo V1,silo-finance-2,1859333.0,no
permapod,Permapod,,1816062.0,no
defituna-lending,DefiTuna Lending,defituna,1558879.0,no
sakefinance,SakeFinance,sone,1539064.0,no
hydro-lending,Hydro Lending,hydro-protocol-2,1537142.0,no
canto-lending,Canto Lending,,1496636.0,no
mesher,Mesher,donkey-token,1443404.0,no
alpaca-finance-2.0,Alpaca Finance 2.0,alpaca-finance,1399725.0,no
hundred-finance,Hundred Finance,hundred-finance,1384793.0,no
joule-finance,Joule Finance,,1246669.0,no
venus-isolated-pools,Venus Isolated Pools,venus,1204393.0,no
hyperdrive-hl,Hyperdrive HL,,1201749.0,no
inertia,INERTIA,,1195730.0,no
joe-lend,Joe Lend,joe,1126827.0,no
kona-lend,Kona Lend,,995138.0,no
lendle-pooled-markets,Lendle Pooled Markets,lendle,955526.0,no
tender-finance,Tender Finance,tender-fi,954520.0,no
mendi-finance,Mendi Finance,mendi-finance,929054.0,no
shadelend,ShadeLend,silk-bcec1136-561c-4706-a42c-8b67d0d7f7d2,901784.0,no
hypurrfi-isolated,HypurrFi Isolated,,823575.0,no
exactly,Exactly,exa,821142.0,no
chainflip-lending,Chainflip Lending,chainflip,785142.0,no
paraspace-lending-v1,ParaSpace Lending V1,,741314.0,no
pando-rings,Pando Rings,,737504.0,no
parallel-lending,Parallel Lending,,725954.0,no
filda,FilDA,filda,724796.0,no
daolama,DAOLama,,682024.0,no
kava-lend,Kava Lend,kava-lend,671980.0,no
valas-finance,Valas Finance,valas-finance,671346.0,no
smartcredit,SmartCredit,smartcredit-token,663334.0,no
tokos,Tokos,,660584.0,no
echo-lending,Echo Lending,,636855.0,no
fungify,Fungify,fungify-token,635938.0,no
phiat-protocol,Phiat Protocol,phiat-protocol,634803.0,no
avalon-finance,Avalon Finance,,617530.0,no
townsquare,TownSquare,,497505.0,no
hyperlend-isolated,HyperLend Isolated,,452262.0,no
unilend-protocol,Unilend Protocol,,449701.0,no
root-finance,Root Finance,,441968.0,no
amply-finance,Amply Finance,,407990.0,no
aurigami,Aurigami,aurigami,396545.0,no
iron-bank,Iron Bank,iron-bank,381375.0,no
granary-finance,Granary Finance,granary,378516.0,no
radiant-v1,Radiant V1,radiant-capital,361257.0,no
polter-finance,Polter Finance,polter-finance,359672.0,no
teller,Teller,,350821.0,no
twyne,Twyne,,344377.0,no
sentiment,Sentiment,,342748.0,no
accumulated-finance-lending,Accumulated Finance Lending,,330728.0,no
zebradao,ZebraDAO,,313090.0,no
knightswap-lending,KnightSwap Lending,knightswap,307750.0,no
quantus-lend,Quantus Lend,,290803.0,no
zentra-finance,Zentra Finance,,281341.0,no
klaybank,KlayBank,,274370.0,no
swaylend,Swaylend,,263727.0,no
deepr-finance,Deepr Finance,deepr,248760.0,no
leaper-finance,Leaper Finance,,241048.0,no
wefi,wefi,wefi-finance,235971.0,no
sumer.money,Sumer.money,,220148.0,no
linx-app,Linx App,,219106.0,no
reactorfusion,ReactorFusion,reactorfusion,215548.0,no
wemix.fi-lend,WEMIX.FI Lend,,199739.0,no
multichainz,MultichainZ,,199448.0,no
compound-v1,Compound V1,compound-governance-token,190023.0,no
segment-finance,Segment Finance,segment,189251.0,no
abel-finance,ABEL Finance,abel-finance,176306.0,no
yldr,YLDR,,174146.0,no
sturdy-v2,Sturdy V2,sturdy,165791.0,no
untitledbank,UntitledBank,,163893.0,no
moonwell-apollo,Moonwell Apollo,moonwell,159835.0,no
weft-v2,Weft V2,weft-finance,159741.0,no
superposition,Superposition,,159348.0,no
omnibtc,OmniBTC,,158413.0,no
fathom-lending,Fathom Lending,fathom-protocol,157451.0,no
tranquil-finance,Tranquil Finance,tranquil-finance,155635.0,no
liquidium,Liquidium,liquidium-token,155542.0,no
moola-market,Moola Market,moola-market,155330.0,no
sonne-finance,Sonne Finance,sonne-finance,147826.0,no
wanlend,WanLend,,146882.0,no
eralend,EraLend,,146453.0,no
seamless-v1,Seamless V1,seamless-protocol,134980.0,no
zenolend,ZenoLend,,127418.0,no
rain.fi,Rain.fi,,125924.0,no
ajna-v2,Ajna V2,ajna-protocol,119660.0,no
apebank,ApeBank,,109267.0,no
lore-finance,Lore Finance,,108367.0,no
keom-protocol,Keom Protocol,,107602.0,no
omm,Omm,omm-tokens,105192.0,no
edel,Edel,edel,102176.0,no
increment-lending,Increment Lending,,99611.0,no
meso-finance,Meso Finance,meso-finance,97708.0,no
hyperyield,HyperYield,,95538.0,no
aave-v1,Aave V1,aave,94385.0,no
harbor-market,Harbor Market,harbor-3,94098.0,no
interlay-lending,Interlay Lending,interlay,92435.0,no
syno-finance,SYNO Finance,synonym-finance,86812.0,no
jet-v1,Jet V1,jet,82362.0,no
puzzle-lend,Puzzle Lend,puzzle-swap,75142.0,no
vicuna-lending,Vicuna Lending,,72442.0,no
nusa,Nusa,nusa-finance,71287.0,no
reax-lending,Reax Lending,,68851.0,no
green-planet,Green Planet,planet-finance,67020.0,no
mahalend,MahaLend,,64577.0,no
apeswap-lending,ApeSwap Lending,abond,63791.0,no
bastion,Bastion,bastion-protocol,61953.0,no
uwu-lend,UwU Lend,uwu-lend,60427.0,no
whitehole-finance,Whitehole Finance,,60270.0,no
udonfi-lending,UdonFi Lending,,57438.0,no
machfi,MachFi,,56483.0,no
lucky-peaches,Lucky Peaches,,55495.0,no
forlend,forlend,,53118.0,no
sorta-finance,Sorta Finance,,48754.0,no
iolend,IOLEND,iolend,47934.0,no
midas-capital,Midas Capital,,47031.0,no
nostra-money-market-alpha,Nostra Money Market Alpha,nostra,44494.0,no
cog,Cog,,44048.0,no
wild-credit,Wild Credit,wild-credit,42743.0,no
impermax-v3,Impermax V3,impermax-2,41809.0,no
minterest,Minterest,minterest,40286.0,no
orbiter-one,Orbiter One,,37632.0,no
hana-finance,Hana Finance,,37260.0,no
aso-finance,Aso Finance,aso-finance,37206.0,no
ambit-finance,Ambit Finance,ambit-finance,35119.0,no
shadex,ShadeX,silk-bcec1136-561c-4706-a42c-8b67d0d7f7d2,33480.0,no
basic,Basic,,32820.0,no
ion-protocol,Ion Protocol,,32753.0,no
iloop,ILoop,,31346.0,no
omnipair,Omnipair,omnipair,30859.0,no
orcadao,OrcaDAO,orcadao,30537.0,no
levvy-for-tokens,Levvy for Tokens,,29548.0,no
supralend,Supralend,,27724.0,no
fringe-v2,Fringe V2,fringe-finance,27435.0,no
takotako,TakoTako,,27401.0,no
sio2-finance,SiO2 Finance,,26963.0,no
liquidops,LiquidOps,liquidops,25809.0,no
sendit,Sendit,,24259.0,no
blend-pools,Blend Pools,,23731.0,no
aptin-finance-v1,Aptin Finance V1,,23572.0,no
siennalend,SiennaLend,sienna,23001.0,no
peridot,Peridot,,21986.0,no
trava-finance,Trava Finance,trava-finance,19461.0,no
lendle-isolated-markets,Lendle Isolated Markets,lendle,19392.0,no
jiblend,JIBLEND,,18402.0,no
magnify-cash,Magnify Cash,magnify-cash,18337.0,no
beta-finance-v1,Beta Finance V1,beta-finance,18030.0,no
ghost,Ghost,kujira,18027.0,no
pike-v2,Pike V2,pike-finance,17731.0,no
metalend,MetaLend,,17510.0,no
lendexe-finance,LendeXe Finance,lendexe,17420.0,no
coslend,Coslend,,17169.0,no
hover,Hover,hover,16921.0,no
ultraswap,Ultraswap,,16766.0,no
morpho-v0-aavev2,Morpho V0 AaveV2,morpho,16236.0,no
loanshark-core,Loanshark Core,,15451.0,no
lander,Lander,,15257.0,no
meridian-lend,Meridian Lend,meridian-mst,14992.0,no
molend,Molend,,14768.0,no
lumen-money,Lumen Money,,14715.0,no
basilisk,Basilisk,,14527.0,no
betterlend,BetterLend,,14392.0,no
voltage-lending,Voltage Lending,fusefi,13757.0,no
hakura-protocol,Hakura Protocol,,13036.0,no
rhombus-protocol,Rhombus Protocol,,13026.0,no
netweave-lending,NetWeave Lending,,12718.0,no
qielend,QIELend,,12670.0,no
yupana,Yupana,,11416.0,no
agave,Agave,agave-token,10808.0,no
beta-finance-v2,Beta Finance V2,beta-finance,10242.0,no
torches,Torches,,9365.0,no
aqualoan,AquaLoan,,9362.0,no
pinjam-labs,Pinjam Labs,pinjam-kava,9210.0,no
market,Market,,8755.0,no
lodestar-v1,Lodestar V1,lodestar,8252.0,no
surge,Surge,,7980.0,no
fmoney,fMoney,fantom-money-market,7940.0,no
chedda-finance,Chedda Finance,,6981.0,no
shroomy-protocol-lending,Shroomy Protocol Lending,shroomy,6885.0,no
votre,Votre,,6748.0,no
shoebill-v1,Shoebill V1,,6674.0,no
cygnusdao,CygnusDAO,cygnusdao,6434.0,no
yusan,Yusan,,6011.0,no
246club,246Club,,5516.0,no
bitlen-finance,Bitlen Finance,,5516.0,no
enzo-finance,ENZO Finance,,5066.0,no
nexion-lending,Nexion Lending,nexion,4930.0,no
sculptor-finance,Sculptor Finance,,4714.0,no
zarban,Zarban,,4541.0,no
huckleberry-lending,Huckleberry Lending,huckleberry,4345.0,no
rocifi-v2,RociFi V2,,4248.0,no
roe-finance,Roe Finance,,4028.0,no
morpho-v0-compoundv2,Morpho V0 CompoundV2,morpho,3709.0,no
multiplier,Multiplier,multiplier,3657.0,no
solidlizard-lending,SolidLizard Lending,solidlizard,3604.0,no
edge-protocol,Edge Protocol,,3584.0,no
lendos,lendOS,,3364.0,no
lodestar-v0,Lodestar V0,lodestar,2938.0,no
u235,U235,,2793.0,no
usdfi-lending,USDFI Lending,,2457.0,no
mooncake-finance,Mooncake Finance,,2283.0,no
nxfi-protocol,NxFi Protocol,,2268.0,no
palmy-finance,Palmy Finance,,2145.0,no
yieldlend,YieldLend,,2028.0,no
pike-v1,Pike V1,pike-finance,1984.0,no
glyph,Glyph,,1831.0,no
weft-v1,Weft V1,weft-finance,1718.0,no
elara,Elara,,1705.0,no
ilend-v1,iLend V1,,1533.0,no
morpho-v0-aavev3,Morpho V0 AaveV3,morpho,1386.0,no
vmex-finance,VMEX Finance,vmex,1293.0,no
kokomo-finance,Kokomo Finance,,1006.0,no
tezfin,TezFin,,966.0,no
grace,Grace,,924.0,no
ilend-v2,iLend V2,,912.0,no
hashstack,Hashstack,,883.0,no
algofi-lend,Algofi Lend,,778.0,no
mage-finance,Mage Finance,,753.0,no
seismic,Seismic,,537.0,no
fuji-v2,Fuji V2,,512.0,no
fringe-v1,Fringe V1,fringe-finance,492.0,no
trustin-finance,Trustin Finance,,404.0,no
bencufi,BencuFi,,358.0,no
0xlend,0xLend,,342.0,no
kilolend,KiloLend,,334.0,no
tashi,Tashi,tashi,326.0,no
elys-earn,Elys Earn,,326.0,no
nyke-finance,Nyke Finance,,293.0,no
unlockd-v2,Unlockd V2,,262.0,no
monolend,MonoLend,monolend,250.0,no
lendlord,LendLord,,248.0,no
friendly-market,Friendly Market,,218.0,no
zoro-protocol,Zoro Protocol,,217.0,no
nebula-lending,Nebula Lending,,208.0,no
commodo,Commodo,,155.0,no
stackfi,StackFi,,154.0,no
avalon-usdalend,Avalon USDaLend,,122.0,no
ajna-v1,Ajna V1,ajna-protocol,118.0,no
joltify-lend,Joltify Lend,joltify,104.0,no
haven1-hlend,Haven1 hLend,,99.0,no
bitfire,BitFire,,76.0,no
liqee,Liqee,,56.0,no
quokkalend,QuokkaLend,,33.0,no
jolt,Jolt,,30.0,no
aimstrong,AImstrong,,28.0,no
dforce-lending,dForce Lending,dforce-token,24.0,no
novation,Novation,,24.0,no
ionise,Ionise,,23.0,no
floe-labs,Floe Labs,,19.0,no
nearlend-dao,Nearlend DAO,nearlend-dao,18.0,no
l2finance,L2FINANCE,,12.0,no
unlockd-v1,Unlockd V1,,10.0,no
dahlia,Dahlia,,10.0,no
kawa-finance,Kawa Finance,,10.0,no
tropykus-zkevm,Tropykus zkEVM,,10.0,no
brainiac-finance,Brainiac Finance,,8.0,no
pholend,PhoLend,,2.0,no
ionic-protocol,Ionic Protocol,ionic-protocol,0.0,no
scream,Scream,scream,0.0,no
larix,Larix,larix,0.0,no
dtrinity-dlend,dTRINITY dLEND,,0.0,no
hadouken-lend,Hadouken Lend,,0.0,no
impermax-v2,Impermax V2,impermax-2,0.0,no
orbit-protocol,Orbit Protocol,orbit-protocol,0.0,no
rheo,Rheo,,0.0,no
ironclad-finance,Ironclad Finance,,0.0,no
dorkfi,DorkFi,,0.0,no
geist-finance,Geist Finance,geist-finance,0.0,no
fountain-protocol,Fountain Protocol,fountain-protocol,0.0,no
astrol,Astrol,,0.0,no
percent-finance,Percent Finance,percent,0.0,no
sturdy-v1,Sturdy V1,sturdy,0.0,no
aloe,Aloe,,0.0,no
aave-arc,Aave Arc,aave,0.0,no
oxygen,Oxygen,oxygen,0.0,no
enclabs,Enclabs,,0.0,no
w3bank,w3bank,,0.0,no
onyx-protocol,Onyx Protocol,Chain-2,0.0,no
mimas-finance,Mimas Finance,mimas,0.0,no
rocifi-v1,RociFi V1,,0.0,no
ooki,Ooki,ooki,0.0,no
gloop,Gloop,,0.0,no
ram-protocol,Ram Protocol,,0.0,no
zkfinance,zkFinance,,0.0,no
euler-v1,Euler V1,euler,0.0,no
sirio-finance,Sirio Finance,,0.0,no
bnpl-pay,BNPL Pay,bnpl-pay,0.0,no
aquarius-loan,Aquarius Loan,aquarius-loan,0.0,no
blume,Blume,,0.0,no
tonpound,Tonpound,,0.0,no
channels-finance,Channels Finance,channels,0.0,no
vee-finance,Vee Finance,vee-finance,0.0,no
ocp-finance,OCP Finance,omni-consumer-protocol,0.0,no
chee-finance,Chee Finance,,0.0,no
hector-lending,Hector Lending,hector-dao,0.0,no
agora,Agora,agora-defi,0.0,no
strike,Strike,strike,0.0,no
renec-lend,Renec Lend,,0.0,no
smardex-p2p-lending,SMARDEX P2P Lending,,0.0,no
blend-finance,Blend Finance,,0.0,no
annex,Annex,annex,0.0,no
mantra-dao,MANTRA DAO,mantra-dao,0.0,no
quickswap-lend,Quickswap Lend,,0.0,no
klend,KLend,klend,0.0,no
fortress-loans,Fortress Loans,fortress,0.0,no
unfederalreserve,unFederalReserve,unfederalreserve,0.0,no
metapoly,Metapoly,,0.0,no
evolve,Evolve,,0.0,no
bao-markets,BAO Markets,bao-finance-v2,0.0,no
lava,Lava,,0.0,no
spiritswap-lending,SpiritSwap Lending,spiritswap,0.0,no
srwa-lending,SRWA Lending,,0.0,no
augmented-finance,Augmented Finance,augmented-finance,0.0,no
evoq-finance,Evoq Finance,,0.0,no
jax-finance,Jax Finance,,0.0,no
klap,Klap,klap-finance,0.0,no
polylend,PolyLend,,0.0,no
owna,Owna,,0.0,no
bodh-finance,Bodh Finance,,0.0,no
goledo,Goledo,goledo-2,0.0,no
eden-finance,Eden Finance,,0.0,no
magsinio,Magsinio,,0.0,no
flux-protocol,Flux Protocol,flux-protocol,0.0,no
dorian,Dorian,,0.0,no
glori-finance,Glori Finance,,0.0,no
wise-lending-v2,Wise Lending V2,,0.0,no
omni-protocol,Omni Protocol,,0.0,no
onyx-v2,Onyx V2,Chain-2,0.0,no
avolend,AvoLend,avolend,0.0,no
hyperloan,HyperLoan,,0.0,no
ecodefi,EcoDeFi,esg,0.0,no
unilend-v2,Unilend V2,unlend-finance,0.0,no
antihero-finance,AntiHero Finance,,0.0,no
snail-finance,Snail Finance,,0.0,no
lnd,LND,,0.0,no
rikkei-finance,Rikkei Finance,rikkei-finance,0.0,no
ssap,SSAP,,0.0,no
usury-finance,Usury Finance,,0.0,no
tempest-capital,Tempest Capital,tempest,0.0,no
betterbank,BetterBank,,0.0,no
fusefi-lending,Fusefi Lending,fusefi,0.0,no
pu239,Pu239,,0.0,no
xbank-finance,xBank Finance,,0.0,no
swirllend,SwirlLend,,0.0,no
cashcow-finance,CashCow Finance,cashcow-finance,0.0,no
paperdao,PaperDAO,,0.0,no
mare-finance-v2,Mare Finance V2,mare-finance,0.0,no
milkyway-protocol-milkomeda,MilkyWay Protocol Milkomeda,,0.0,no
unclesam-protocol,UncleSam Protocol,unclesam-finance,0.0,no
fenrir-finance,Fenrir Finance,,0.0,no
omnidex-lend,Omnidex Lend,omnidex,0.0,no
aurum,Aurum,,0.0,no
merchant-finance,Merchant Finance,,0.0,no
sohei,Sohei,sohei,0.0,no
mare-finance-v1,Mare Finance V1,mare-finance,0.0,no
toreus,Toreus,,0.0,no
lendhub,LendHub,lendhub,0.0,no
waterloan,WaterLoan,,0.0,no
agile-finance,Agile Finance,agile,0.0,no
parallel-polkadot-lending,Parallel Polkadot Lending,,0.0,no
realt-rmm-marketplace,RealT RMM Marketplace,realtoken-ecosystem-governance,0.0,no
lenen,Lenen,,0.0,no
debtdao,DebtDAO,,0.0,no
goldbank-finance,Goldbank Finance,,0.0,no
paribus,Paribus,paribus,0.0,no
zklend,zkLend,zklend-2,0.0,no
magnate-finance,Magnate Finance,magnate-finance,0.0,no
lendora-protocol,Lendora Protocol,lendora-protocol,0.0,no
chimeradex-lend,Chimeradex Lend,,0.0,no
yuzu-market,Yuzu Market,,0.0,no
alien-finance,Alien Finance,alien-finance,0.0,no
altr-lend,Altr Lend,,0.0,no
lumin-finance,Lumin Finance,,0.0,no
percentme,Percentme,,0.0,no
firoza-finance,Firoza Finance,,0.0,no
unleash-protocol,Unleash Protocol,,0.0,no
teralend,Teralend,,0.0,no
palomino-finance,Palomino Finance,,0.0,no
prime-protocol,Prime Protocol,,-19728.0,no
